"Sektor","Barkod","Urun Adi","Marka","Kategori","Fiyat (TL)","KDV","Urun Gorseli"
"İçecek","8692886622517","Kefir","Altınkılıç","Kefir","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697471723426","Dana Jambon","Mamet","Kırmızı Et","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","5369445079015","Turkish Delight - Pomegranate Flavored Pistachio","","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8695077105059","Yerli Pilavlık Pirinç","Harras","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","4006643011461","When Protein Shake Cookies&cream Flavour","Multipower","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8684341638171","Doğal Kaynak Suyu","Güzelpınar","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8696236009119","Aro Yağlı Süt","Aro","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8699118042846","Süzme Yoğurt","Birşah","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8696425021212","Frozen Crispy Chicken","Lezita","Tavuk","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680171512117","Pomegranate Flavored Sparkling Drink","Sultan","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Takviye ve Fonksiyonel Gıda","8690949001309","Caramel Candy High Protein Bar","Bahs","Protein ve Takviye","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8399117054023","Salatalık Turşusu","Galle","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8899118054003","Salatalık Turşusu","Galle","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8699118054023","Salatalık Turşusu","Galle","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8699228005403","Salatalık Turşusu","Galle","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690635260409","Cevizli Ezme","Tat","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8682983760441","Wake Şekersiz Yulaf Latte","Nilky","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Yağ","8699300270002","Naturel Sızma Zeytinyağı","Komili","Zeytinyağı","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695077074515","Centro Fındık","Centro","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695077058584","Kurutulmuş Turna Yemişi Cranberry","Harras","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695077123879","Ceviz İçi","Harras","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504084020","Rodeo","","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8680050304925","Gingerbread Cookies","Humm","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","1371019970219","Doğal Kaynak Suyu","Kalabak","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8696236020008","Peynir Topları","Jalapenio","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8682696550162","Dubai Chocolate Whey Protein","Protein-Ocn","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690684900028","Tabliatelle","Pastavilla","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690559025245","Meksika Fasulyeli Hindi","Hindice-Dardanel","Bakliyat","bilinmiyor","bilinmiyor","bilinmiyor"
"Balık ve Deniz Ürünleri","8696236018326","Salmon Füme","Metro-Chef","Balık","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690632762913","Şekersiz Cafe Latte","Nescafé","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8682368978553","Damla Çikolatalı Enerji Bar","Saf","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8696368165530","Danissimo Kırmızı Meyve Parçalı","Danone","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692462002528","Yoğurt","Migros","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692813006823","Şeftali Mango Aromalı Maden Suyu","Kızılay","Maden Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8698823997359","Tam Buğday Unlu Ekşi Mayalı Ekmek","Ekmek-Dunyası","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","4017979042005","Egetürk Sebze Sefası","","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8683347035472","Keçiboynuzlu & Chialı Fıstık Ezmesi","Wefood","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8684255645609","Sprouted Mug Beans","The-Good-Wild","Bakliyat","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690526023021","Lifalif Yer Fıstıklı Üzümlü Fındıklı Bademli Granola","Eti","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8684127627108","Cashew Cheese","İtz-Nutz","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Balık ve Deniz Ürünleri","8682773936407","Somon Dilim","Erba-Sea-Food","Balık","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8699270020393","Nello Fındık Ezmesi Ve Bütün Fındıklı Sütlü Çikolata","Kahve Dünyası","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690579054935","İnce Uzun Makarna","Filiz","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8699141055035","Starz","Biscolata","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8697427870266","Haşhaş Ezmesi","Gelincik-Haşhaş","Tereyağı","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","733603092621","Tri Colour Quinoa","Hunter-S","Bakliyat","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8690637849114","Maraş Dondurması","Algida","Dondurma","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693374235974","Whole Grain Rice","Yayla","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693374264905","Basmati Rice","Yayla","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8691397197064","İHE Ruşeyimli Sofra Ekmeği","İstanbul-Halk-Ekmek","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","90457821","Red Bull","Redbull","Enerji İçeceği","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526085203","Hoşbeş","Eti","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690698515546","Uno Mini Roll","Uno","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8680050317949","Organic Cacao Cake Bites With Nuts","Humm","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8682696850002","Ketçap - Düşük Şekerli Düşük Kalorili","Proteinocean","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8681851001228","Glutensiz Yaban Mersini & Mango Granola","Naturiga","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690849820673","Reis Başakbaşı Bulgur","Reis","Bulgur","bilinmiyor","bilinmiyor","bilinmiyor"
"Takviye ve Fonksiyonel Gıda","8680030811313","Whey Protein","High-Nutrition","Protein ve Takviye","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8696368944579","Çikolatalı Kurabiye Tadında Süt","Danone","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8684207695683","Fındıklı Kakaolu Kuruyemiş Bar","Fellas","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8699118009566","Ceviz İçi","Cerezya","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8682696850057","BBQ Sos - Barbekü Sos Düşük Şekerli Düşük Kalorili","Proteinocean","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","695457074942","Çıtır Müsli Meyveli","Kelly's Fitness Club","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8699118075523","Yulaf Ezmesi","Burch","Yulaf","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8683130069363","Algida Cornetto Choco.  Coffee","","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8691225153392","Dil Peyniri","Tahsildaroglu","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8691967332154","Dana Pastırma","İnan","Kırmızı Et","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","462952002875","Sausage Meatballs","Uzman-Kasap","Sosis","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8693407004676","Dana Dilimli Çemensiz Oastırma","Polonez","Kırmızı Et","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8681655007075","Corn Flakes","","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8682696850019","Sweet Chili Sos - Şekersiz Düşük Kalorili","Proteinocean","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8682214721692","Yarım Yaglı Yogurt","Mis","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8691225152111","Lor Peyniri","Tahsildaroğlu","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","484848484","Fake Product Abc","Fakeappfruitsplus","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Balık ve Deniz Ürünleri","8691405653254","Light Ton Balığı","Fide","Balık","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8696027015121","Tuzu Azaltılmış Soya Sosu","Kuhne","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8683789552063","Ananas And Mango","Just-Tea","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5411188112716","No Sugars Nutty Almond","Alpro","Diğer İçecek","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/541/118/811/2716/front_en.3.400.jpg"
"Fırıncılık","8690504634119","Piyale Galeta Unu","","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8682214733176","Light Yoğurt","Mis","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5000112671711","Karpuz Aromalı Ice Tea","Fusetea","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8692134668922","Süt Reçeli","Ganik","Reçel ve Marmelat","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8682214701496","Lavaş","Bisto","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690632766423","Damak Ala Beyaz Gofret","Nestlé","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8696236432436","Ballı Keten Tohumlu Granola","Aro","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8696236432429","Kakaolu Granola","Aro","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8681511350024","Purt Peanut Butter","Bella","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690632247045","3ü1 Arada Sütlü Köpüklü Kahve","Nescafé","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8695077135391","Ketçap %50 Azaltılmış","Harras","Ketçap","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8695077029485","Tam Yağlı Homojenize Yoğurt","Harras","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971428055","Organik Yoğurt","İçim","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690635061181","Süt Mısır","Tat","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8695077141439","Karabuğday Patlağı","Harras","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8695077147523","Tam Yağlı Homojenize Yoğurt","Binvezir","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690565007556","Laktozsuz Süt","Pınar","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692971429564","Sade Kefir","İçim","Kefir","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","4012625505569","Marmara Tulum Peyniri","","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Balık ve Deniz Ürünleri","8697595870273","Fish Oil","Ocean","Balık","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8691316526005","Ayran","Migros","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8684207695805","Karışık Kuruyemiş Ve Kakaolu Protein Granola","Fellas","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690213000021","Ayran","Ateşoğlu","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","411291001285","Dana Pastırma","Polonez","Kırmızı Et","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","6931159003090","Spicy Tofu Snack","HEMA","Diğer Atıştırmalık","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697405860357","Süt Reçeli","Antalya-Recelcısı","Reçel ve Marmelat","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","86945875","Ekşi Elma Aromalı Balonlu Sakız","Big Babol","Sakız","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8695077116307","Krem Eritme Peyniri","Aknaz","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690526055534","Eti Hosbes H Cevizli","Eti","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690526005225","Eti Hosbes Fındık","Eti","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Balık ve Deniz Ürünleri","8696236621045","Light Ton Balığı","Aro","Balık","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8695077135414","Light Mayonez","Harras","Mayonez","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8699009335378","Spicy Sauce","Kofteci-Yusuf","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690565005132","Organik Yoğurt","Pınar","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8681744070720","Karışık Meyveler","Lavi","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8692971413105","Protein Süt","İçim","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690565028612","Lezzetin Alası Doğal Yoğurt","Pınar","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Yağ","8691375611827","Gurme Kaymaklı Kase Margarin","","Margarin","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690931009054","Lor Peyniri","Yorukoğlu","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Balık ve Deniz Ürünleri","8690559016373","Dana Füme Et","Mr-No-Dardanel","Balık","bilinmiyor","bilinmiyor","bilinmiyor"
"Balık ve Deniz Ürünleri","8690559704270","Tavuk Teriyaki Sandviç","Mr-No-Dardanel","Balık","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8682214708792","Krem Peynir","Mis","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695876206278","Bahçeden Yer Fıstıklı","Peyman-Bahceden","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504108122","Cracker Crisps Thai Sweet Chilli","Mcvitie's","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8695077135728","Fiyonk Kraker","Atıştır","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8682696000315","Cookies And Cream Protein Tozu","Proteinocn","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8695077091253","Lactose Free Half Skimmed Milk","Dost","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8695077130150","Antep Fıstıklı Soğuk Baklava","Harras","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","4017979003006","Egetürk Fıstıklı Sığır Salam","","Salam","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","4260467591671","Destan Biberli Salam","","Salam","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8690527021620","Şölen Doyum Parmak Sucuk","Şolen","Sucuk","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","1500144801659","Uludağ Limonata 1L","Uludağ","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690558014486","Fruit Mix Nectar","Dimes","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8682214715509","Dalından Kuru İncir","Amigo","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8682214713574","Ketçap","Bizim-Vatan","Ketçap","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8699118070801","Kuru İncir","Çerezya","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8684824660019","Parmesan Garlic Sauce","Vav-Wings","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8697742720796","Kuru İncir","Dovido","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8682792206925","Organic Oat","Og","Yulaf","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8699118037118","Yeşil Mercimek","Yoremce","Bakliyat","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690629447182","Yogotella Orman Meyveli","Dr. Oetker","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8699270017638","Tambol Sütlü Bütün Antep Fıstıklı Çikolata","Kahve Dünyası","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8695077140890","Nohut Cipsi","Harras","Cips","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690787554012","Tadımca Yer Fıstıklı Bar","Tadım","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8682214704725","Pilavlık Yerli Pirinç","Anadolu-Mutfağı","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8682214702745","Dana Kıyma","Lezzetlim","Kırmızı Et","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8696813095016","Yarim Yagli Taze Tost Ve Kahvalti Peyniri","Vadim","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8691316520379","Yarım Yağlı Yoğurt","Eker","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","5000112664522","Cappy Pulpy Portakal","Cappy","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8681413801228","United Classic Peanut Butter","Fitnut","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8682615106234","Fasulye","Fasulye","Bakliyat","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8682530221814","Gevrek","Kellogg's","Diğer İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8681038610892","Erikli Meyve Bar","Mixmey","Diğer Atıştırmalık","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8699032006856","Lavaş Ekmek","Unlüx","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690849242024","Kepekli Pirinç","Reis","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8699916610285","Beysu  0.5L","Beysu","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504136781","Dev Çıtırtı Gofret","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","86902649","Whipping Cream %32 Fat","Tikveşli","Krema","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526028811","Eti Çikolatalı Antep Fıstıklı 17 Gr","Eti","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8691316521512","Ayran","Eker","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695077041944","Kızartılmış Tuzlu Yer Fıstığı","Harras","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8695077157423","Nar Suyu","Harras","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8684458000007","Sade Zengin Mineralli Doğal Maden Suyu","Avoya","Maden Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690575171513","Kahvaltilik Sos","Tamek","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8684000450687","1.5% Milk","Migros","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690632762197","Nesile Çikolata Beyaz","","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693374261218","Sebezli Bulgur Pilavi","Yayla","Bulgur","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8698990293315","Sade Çekme Helva","Erdem Sepetçioğlu","Tahin ve Helva","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8695523200390","Sıkma Nar Suyu","Exotic","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","2416051000018","Toast Bread","Migross","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8682696720091","Cream Of Rice Apple Pie / Elmalı Turta Aromalı Pirinç Kreması","Proteinocean","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8691440309499","Ezogelin Çorbası","Duru","Çorba","bilinmiyor","bilinmiyor","bilinmiyor"
"Takviye ve Fonksiyonel Gıda","8683200063956","Çilekli Ve Kakaolu Vegan Protein Bar","Fellas","Protein ve Takviye","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8691588111572","Strawberry Jam Sugar Free","Yenigun","Reçel ve Marmelat","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690526877860","Kuru Yemişli Yulaf Bar","Lifalif","Yulaf","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8683347031184","Pirinç Patlağı","Wefood","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8684474137824","Tavuk Suyu","Kemsan","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8691316522014","Sütlac","Eker","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8693342016246","Acılı Tavuk Köfte","Keskinoğlu","Tavuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8682442281180","Demi Glace Sos","Jr-Sous-Chef","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8694918001833","Pesto Chicken Sandwich","Tada","Tavuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8695077074553","Kahvaltılık Sos","","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504024040","Ülker Çikolatin Sütlü Çikolata","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697438750304","Dana Hamburger Köfte","Uzman-Kasap","Kırmızı Et","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693374258881","Nohutlu Karabuğday Pilavı","Yayla","Bakliyat","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8690559704287","Tavuk Salata","Mr-No","Tavuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8691316520287","Tam Yağlı Yoğurt","Eker","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697471729039","Hindi Sosis","Maret","Sosis","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690559024958","Viyana Ekmekli Ton Balıklı Sandviç","Dardanel","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8696292000341","Tam Buğday Ekmeği","Untad","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8681630410159","Züber Peanutzilla Kakaolu Yer Fıstığı Kreması","Züber","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8691440309505","Mercimek Çorbası","Duru","Çorba","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690698515201","Tam Buğday Tava Ekmeği","Uno","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690698515935","Uno Premium Çok Tahıllı","Uno","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690698515010","2 Kat Tahıllı Tava Ekmeği","UNO","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8692173001254","Basmati Pirinç","Tat","Pirinç","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8699118076667","Tam Yağlı Yoğurt","Ustad","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
